date,PM2.5,PM10,NO2,SO2,CO,O3,AQI
2023-01-01,92.42,205.97,29.87,2.0,0.77,41.52,84.02
2023-01-02,76.54,186.99,37.83,6.4,1.18,40.93,83.79
2023-01-03,96.19,152.39,28.11,10.86,1.21,14.09,77.09
2023-01-04,118.08,124.12,35.38,33.88,1.44,43.4,92.68
2023-01-05,74.15,177.93,11.6,20.57,0.52,64.66,80.15
2023-01-06,74.15,165.74,43.2,2.0,1.5,24.52,94.24
2023-01-07,119.48,185.81,40.02,19.86,0.2,70.97,99.38
2023-01-08,99.19,175.41,27.74,2.0,0.89,59.76,79.59
2023-01-09,68.26,191.98,49.89,25.83,0.96,35.32,98.24
2023-01-10,93.56,128.59,54.06,10.29,1.52,47.17,82.94
2023-01-11,68.41,202.7,15.89,14.06,1.21,81.97,94.02
2023-01-12,68.36,157.9,28.56,28.26,0.5,64.67,82.33
2023-01-13,86.05,233.01,28.46,2.13,0.71,50.18,100.57
2023-01-14,32.17,122.43,25.9,2.0,1.3,45.25,70.77
2023-01-15,36.88,219.44,52.44,9.16,1.16,51.53,88.47
2023-01-16,65.94,157.92,37.09,25.38,0.91,39.76,69.39
2023-01-17,54.68,123.94,36.03,2.0,0.96,10.0,83.25
2023-01-18,87.86,130.64,9.94,2.0,1.55,90.84,93.42
2023-01-19,57.3,137.19,49.53,10.49,0.94,53.11,71.74
2023-01-20,44.69,166.97,21.41,20.52,1.16,57.96,84.33
2023-01-21,116.64,170.91,40.9,27.0,2.28,48.84,118.95
2023-01-22,74.36,127.05,44.16,10.37,0.49,35.3,74.26
2023-01-23,81.69,149.03,60.41,10.89,0.27,46.28,103.67
2023-01-24,44.38,235.69,20.37,26.54,1.59,18.01,84.12
2023-01-25,66.39,219.1,5.0,2.0,0.86,95.54,90.74
2023-01-26,82.77,167.45,42.76,11.11,1.04,25.31,86.8
2023-01-27,51.23,151.52,67.01,16.9,0.81,29.36,81.55
2023-01-28,89.39,154.8,58.58,19.49,1.07,41.19,75.37
2023-01-29,64.98,174.54,43.14,9.9,2.0,75.76,77.41
2023-01-30,72.71,109.09,32.63,15.34,1.6,50.29,72.61
2023-01-31,64.96,139.7,52.11,2.0,1.63,25.28,63.0
2023-02-01,126.31,83.26,25.4,8.42,0.49,75.09,82.07
2023-02-02,79.66,165.97,47.15,19.54,0.62,64.62,91.71
2023-02-03,53.56,175.89,47.58,5.18,0.2,60.77,63.83
2023-02-04,100.56,130.67,55.9,15.59,0.8,64.31,76.06
2023-02-05,49.48,212.96,81.39,19.47,1.68,97.89,103.66
2023-02-06,85.22,100.97,45.89,11.57,1.46,93.7,96.72
2023-02-07,31.01,91.43,32.37,16.7,1.09,36.27,34.14
2023-02-08,46.8,158.98,39.62,5.37,1.19,82.48,87.21
2023-02-09,84.92,191.88,13.46,12.93,0.86,57.66,99.72
2023-02-10,98.46,217.36,29.58,21.1,1.3,59.98,118.43
2023-02-11,84.28,131.64,33.86,16.57,1.58,16.15,94.69
2023-02-12,77.11,193.15,32.14,9.13,0.39,46.59,106.07
2023-02-13,72.47,148.46,42.29,17.24,1.35,33.74,78.77
2023-02-14,43.04,143.09,27.66,22.15,1.67,66.56,77.45
2023-02-15,62.0,185.35,56.82,2.0,0.99,71.42,84.13
2023-02-16,68.48,176.09,40.0,26.59,1.55,10.0,84.97
2023-02-17,106.43,86.94,39.86,11.64,2.61,49.56,113.36
2023-02-18,88.59,209.06,35.08,19.25,1.15,72.44,90.61
2023-02-19,35.92,205.2,42.33,26.97,1.4,46.27,73.29
2023-02-20,88.1,124.98,52.38,2.0,0.83,64.58,97.34
2023-02-21,70.37,165.83,26.99,7.91,1.29,57.02,96.07
2023-02-22,63.08,169.76,30.13,12.11,1.43,56.83,82.0
2023-02-23,95.29,160.43,35.44,7.16,1.3,44.57,102.31
2023-02-24,105.77,127.99,19.81,32.35,0.69,25.67,85.67
2023-02-25,103.28,123.14,27.71,6.43,1.3,27.57,101.2
2023-02-26,59.02,148.98,32.86,9.44,1.93,64.19,86.85
2023-02-27,72.27,196.91,53.12,17.04,1.42,50.39,106.51
2023-02-28,88.28,171.74,43.94,2.98,1.68,47.23,124.52
2023-03-01,104.39,135.18,42.9,11.04,1.08,41.52,96.66
2023-03-02,68.02,180.87,52.76,18.17,1.57,43.9,92.39
2023-03-03,75.36,36.06,37.94,11.67,1.34,70.94,72.99
2023-03-04,52.34,195.95,45.86,14.07,0.72,43.3,75.5
2023-03-05,50.09,80.41,38.45,9.71,1.36,23.18,81.4
2023-03-06,100.31,135.5,43.98,2.0,0.7,64.87,90.3
2023-03-07,113.91,105.21,31.26,18.22,0.88,45.9,83.63
2023-03-08,78.2,98.21,5.0,32.55,1.29,50.63,65.23
2023-03-09,105.09,196.43,37.99,15.18,1.35,82.15,122.66
2023-03-10,89.04,131.29,61.34,17.25,0.61,49.59,91.04
2023-03-11,63.87,163.86,53.89,21.93,1.73,55.78,85.47
2023-03-12,89.03,148.12,54.48,2.31,1.49,26.42,95.39
2023-03-13,118.45,169.08,58.54,32.03,0.85,45.61,88.88
2023-03-14,79.1,153.07,41.33,17.02,0.43,62.19,82.73
2023-03-15,119.12,98.68,42.96,31.32,1.13,18.89,91.88
2023-03-16,14.51,189.85,30.74,7.67,0.98,54.02,82.18
2023-03-17,100.55,130.25,35.26,33.18,1.26,52.02,84.11
2023-03-18,82.18,87.74,49.24,22.75,1.02,50.83,61.5
2023-03-19,72.52,132.88,58.06,20.53,0.2,70.74,66.07
2023-03-20,82.29,210.03,37.91,17.34,1.01,56.69,84.78
2023-03-21,30.31,184.01,33.25,12.51,1.05,79.56,88.65
